name|Current price|EBIT|Enterprise Value|Return on capital employed|Return on invested capital|Debt to equity|Market Capitalization|Net block preceding year|Working capital|Price to book value|Price to Earning|Earnings yield
West Coast Paper|84.35|89.58|1,454.43|4.64|6.19|1.52|557.13|1,242.74|281.45|0.92|8.96|6.16
Walchan. Inds.|146.15|31.41|859.84|-0.29|2.17|1.86|556.40|638.26|429.79|3.53|NaN|3.65
Sharda Motor|934.95|62.59|684.96|13.09|15.26|0.70|555.95|298.62|46.50|2.32|14.93|9.14
Subros|92.55|68.17|944.42|10.72|10.54|1.16|555.30|536.32|60.76|1.66|23.13|7.22
Store One Retail|200.45|66.33|639.54|16.88|32.06|0.58|553.24|131.78|40.15|2.64|10.01|10.37

Vaarad Vent.|22.05|-1.01|555.55|-5.44|-6.46|0.19|551.03|17.71|3.66|22.92|NaN|-0.18
Kridhan Infra|74.10|40.14|680.81|15.78|12.15|0.99|549.02|214.16|57.86|3.15|25.48|5.90
Gammon Infra.|5.80|220.14|4,402.12|3.21|3.44|4.11|546.23|2,494.89|-185.03|0.59|NaN|5.00
Ajmera Realty|153.40|93.10|835.98|5.54|10.01|0.73|544.26|118.83|771.85|1.19|12.83|11.14
Nila Infrastruct|13.85|40.40|686.30|9.29|9.45|0.93|543.93|32.29|242.16|3.16|31.92|5.89
Essar Shipping|26.25|48.20|5,670.46|-1.63|-1.86|0.75|543.31|9,816.92|1,908.69|0.08|NaN|0.85
JBM Auto|133.15|137.61|1,024.25|21.95|15.24|1.64|543.19|469.94|168.74|1.54|10.37|13.44
Deep Industries|185.15|76.60|643.82|16.24|27.04|0.52|540.64|237.80|9.18|2.08|13.22|11.90
The Hi-Tech Gear|286.55|36.08|579.67|12.39|15.17|0.29|537.85|178.81|50.31|3.12|24.99|6.22
Bharat Bijlee|951.95|27.91|666.54|-9.71|2.58|0.50|537.85|94.00|186.48|1.97|74.81|4.19
DIC India|585.30|48.94|539.18|14.02|16.06|0.01|537.25|86.77|212.08|1.85|17.20|9.08

Manali Petrochem|31.20|71.81|443.62|39.93|42.60|0.00|536.64|103.70|38.00|1.83|11.13|16.19
Uttam Value Ste.|0.80|-254.17|1,908.10|13.20|-24.97|3.65|528.65|1,710.57|-801.75|NaN|NaN|-13.32
Indo Rama Synth.|34.80|-8.00|877.18|-1.80|-5.51|0.69|528.33|1,059.72|-170.25|0.89|4.74|-0.91
Jindal Drilling|182.10|47.94|525.94|21.54|22.16|0.00|527.73|58.48|29.36|0.63|17.54|9.12
SRS Real INFRA.|13.07|20.55|711.16|12.64|8.24|0.91|525.46|44.37|193.41|2.36|89.95|2.89
Upper Gang. Sug.|454.30|65.78|1,114.70|-3.52|10.19|-314.13|525.17|363.19|262.96|56.41|46.89|5.90
Mold-Tek Pack.|189.60|37.74|542.42|26.47|29.48|0.16|525.02|72.04|54.03|3.76|21.79|6.96
Prakash Inds.|38.65|89.23|1,402.04|3.36|4.64|0.43|524.10|1,747.24|85.04|0.25|25.47|6.36
Mac Charles(I)|399.60|49.87|518.24|10.55|50.66|0.00|523.48|61.25|15.57|1.93|16.20|9.62
Hercules Hoists|162.55|16.94|519.76|6.32|3.81|0.00|520.16|26.99|99.87|2.69|39.11|3.26
Sarda Energy|144.55|207.64|1,991.38|7.49|7.40|1.23|520.07|1,382.90|627.73|0.43|3.76|10.43

Ramky Infra|90.25|-197.34|4,085.58|-8.50|-9.35|4.58|516.23|1,465.10|1,459.04|0.64|NaN|-4.83
Adi Finechem|373.70|20.35|544.09|32.02|25.03|0.51|515.48|32.80|16.33|7.65|48.63|3.74
BS|11.60|264.44|1,021.13|21.83|22.43|1.09|511.69|217.53|781.81|0.84|8.62|25.90
Anuh Pharma|203.85|37.97|509.98|48.12|64.28|0.00|510.77|12.15|48.09|4.03|19.79|7.45
Vascon Engineers|31.65|44.52|794.03|-36.33|4.41|0.61|510.63|45.60|227.20|1.04|77.73|5.61
Hind.Oil Explor.|39.10|6.50|482.16|-2,679.77|-9.65|0.00|510.22|8.71|78.84|1.83|662.71|1.35
Monnet Ispat|25.30|-743.72|8,297.39|-5.72|-9.63|4.33|507.94|4,398.92|1,248.95|3.19|NaN|-8.96
A2Z Infra Engg.|40.00|-102.71|2,021.33|-8.72|-8.70|2.20|507.58|438.28|965.86|0.74|NaN|-5.08
Ortel Commu.|167.00|38.57|650.84|11.59|11.64|1.23|507.10|204.66|-10.49|3.64|42.54|5.93
Repro India|464.20|7.90|700.59|7.48|0.31|0.96|505.98|188.91|148.25|2.57|25.12|1.13
GMM Pfaudler|345.35|28.50|486.11|28.85|29.66|0.00|504.82|36.66|52.08|3.44|27.50|5.86

Jayaswal Neco|7.90|110.97|4,514.51|8.38|3.58|1.82|504.52|1,472.79|714.06|0.24|6.78|2.46
Arshiya|32.25|-307.38|2,985.19|-12.16|-14.68|-2.56|503.68|3,060.97|-1,158.10|NaN|NaN|-10.30
Pearl Global Ind|231.30|67.81|637.05|3.85|8.93|0.53|501.00|372.16|264.40|1.43|13.23|10.64
