name|Current price|EBIT|Enterprise Value|Return on capital employed|Return on invested capital|Debt to equity|Market Capitalization|Net block preceding year|Working capital|Price to book value|Price to Earning|Earnings yield
Ahluwalia Contr.|287.50|154.34|2,056.83|29.13|42.28|0.51|1,925.89|130.74|216.50|4.57|22.81|7.50
Quick Heal|274.25|NaN|NaN|NaN|NaN|NaN|1,920.60|NaN|NaN|NaN|NaN|NaN
I T D C|223.80|32.85|1,650.06|0.90|-1.15|0.00|1,919.53|52.22|311.39|5.52|61.13|1.99
Marksans Pharma|46.65|117.03|1,812.77|43.08|24.61|0.24|1,909.45|145.65|309.73|4.28|24.32|6.46
Federal-Mogul Go|343.05|100.21|2,129.01|7.46|9.99|0.50|1,908.39|473.92|180.66|3.86|43.36|4.71
Poly Medicure|430.55|72.64|1,963.42|33.18|27.91|0.40|1,899.30|120.43|69.61|7.94|40.15|3.70
Tide Water Oil|5,438.40|130.86|1,735.96|20.45|25.16|0.00|1,895.17|68.88|336.83|3.19|22.04|7.54

H T Media|80.45|360.39|2,050.09|18.08|26.35|0.19|1,872.46|750.73|83.54|0.90|11.16|17.58
Mayur Uniquote|402.30|125.07|1,879.11|47.11|45.52|0.08|1,861.75|136.50|127.43|5.44|22.56|6.66
Minda Inds.|1,169.85|167.56|NaN|12.40|24.84|0.65|1,856.01|400.54|173.40|3.92|17.37|NaN
Prime Focus|61.85|-10.70|2,850.57|-11.16|-2.54|0.93|1,848.57|1,092.24|268.20|1.84|NaN|-0.38
Hind.Construct.|23.70|1,035.79|12,560.74|10.56|11.56|15.69|1,846.61|4,493.98|2,527.20|2.63|NaN|8.25
Kushal Tradelink|155.50|116.25|1,940.03|55.12|48.44|0.81|1,844.75|16.63|222.13|13.71|18.62|5.99
Brigade Enterpr.|162.10|417.36|3,444.46|15.10|18.37|1.23|1,835.26|1,226.63|781.55|1.23|14.10|12.12
T N Newsprint|264.60|456.54|3,877.44|15.80|19.00|1.72|1,831.30|2,433.21|-94.53|1.26|7.21|11.77
TVS Srichakra|2,373.40|302.19|2,013.97|42.07|73.38|0.74|1,818.02|229.32|114.50|3.84|9.22|15.00
Jindal Poly Film|431.05|789.62|3,543.61|9.84|26.36|1.08|1,812.57|2,784.83|431.62|0.88|4.94|22.28
Nilkamal Ltd|1,208.70|171.15|2,002.48|12.31|24.41|0.42|1,803.38|332.58|379.66|3.02|17.36|8.55

Accelya Kale|1,205.25|118.04|1,778.00|140.39|151.09|0.00|1,799.44|79.02|-0.18|10.34|24.62|6.64
Sonata Software|168.65|231.86|NaN|66.40|66.71|0.06|1,774.20|16.62|274.97|3.02|11.37|NaN
V I P Inds.|125.00|93.55|1,776.14|30.82|29.49|0.04|1,766.25|55.43|258.71|5.25|27.82|5.27
Team Lease Serv.|1,030.30|56.02|1,731.63|12.34|12.24|0.06|1,761.48|2.92|261.10|5.68|49.09|3.24
Ashiana Housing|171.95|142.78|1,733.42|10.01|41.56|0.07|1,759.94|55.74|234.20|2.70|13.60|8.24
Supreme Petroch.|181.55|174.77|1,681.06|23.31|44.51|0.00|1,751.99|345.13|51.67|4.22|14.63|10.40
Vesuvius India|859.90|116.95|1,632.22|22.97|22.23|0.00|1,745.60|132.29|346.09|3.39|22.84|7.17
GIC Housing Fin|320.10|791.76|8,674.43|231.84|224.40|9.57|1,723.74|2.62|350.67|2.36|13.85|9.13
T.V. Today Netw.|288.30|147.51|1,660.94|26.41|27.94|0.02|1,719.81|215.10|179.13|3.16|18.24|8.88
Natl.Fertilizer|35.05|511.37|9,359.05|2.85|4.30|5.16|1,719.48|4,682.24|6,619.65|1.02|8.72|5.46
JP Power Ven.|5.85|1,828.79|24,386.96|12.26|7.20|3.59|1,718.73|12,448.73|-325.12|0.28|12.95|7.50
Uflex|237.05|552.05|3,466.24|10.57|10.58|0.64|1,711.74|3,239.85|1,592.22|0.51|5.47|15.93

VST Till. Tract.|1,980.20|112.60|1,692.84|34.76|34.45|0.00|1,710.80|124.20|156.58|3.91|23.08|6.65
Jindal Saw|53.50|575.72|9,691.03|4.33|3.95|2.26|1,710.68|5,843.03|4,783.17|0.46|NaN|5.94
Balmer Lawrie|595.15|238.99|1,334.93|17.78|20.35|0.00|1,696.22|290.30|461.17|1.59|10.39|17.90
JBF Inds.|205.80|372.66|10,160.69|7.23|4.52|4.72|1,684.92|4,479.32|1,686.43|1.03|54.34|3.67
Gallantt Ispat|590.65|38.60|1,718.78|8.99|9.38|0.18|1,667.76|257.74|145.86|4.68|58.29|2.25
J Kumar Infra|219.75|214.56|2,158.50|21.73|18.65|0.65|1,662.75|325.53|625.88|1.87|16.36|9.94
SML ISUZU|1,147.80|73.49|1,708.20|17.97|16.64|0.16|1,660.87|137.85|220.71|4.88|32.46|4.30
Guj Alkalies|225.95|273.19|1,813.95|9.61|12.32|0.08|1,659.38|1,615.25|185.77|0.70|7.49|15.06
Forbes & Co|1,280.00|171.93|2,546.82|8.16|7.48|2.41|1,651.20|877.73|336.81|3.72|55.04|6.75
Kesoram Inds.|140.80|814.66|6,470.57|-1.47|-10.95|13.31|1,651.14|1,546.66|2,620.86|4.18|NaN|12.59
Caplin Point Lab|1,070.45|74.77|1,579.21|98.61|113.85|0.02|1,617.45|100.51|-49.58|11.96|27.87|4.73

Skipper|157.80|200.31|1,968.77|30.61|28.69|1.28|1,614.55|338.52|328.93|4.09|16.97|10.17
Clariant Chemica|698.25|56.18|609.69|-1.87|0.32|0.01|1,611.69|165.99|974.44|1.12|64.44|9.21
Health.Global|189.10|36.67|1,932.71|6.08|5.93|1.25|1,608.79|511.52|8.78|5.73|2,593.96|1.90
Sunteck Realty|254.45|253.89|2,568.91|7.11|9.61|0.73|1,601.76|73.86|2,490.53|0.98|10.04|9.88
Den Networks|89.85|-102.59|2,448.63|-4.74|-9.22|0.58|1,601.13|1,355.20|917.04|1.11|NaN|-4.19
KNR Construct.|569.05|142.75|1,691.18|16.68|25.03|0.17|1,600.17|263.72|224.16|2.19|9.93|8.44
Dynamatic Tech.|2,521.65|93.62|NaN|11.06|12.08|2.09|1,599.09|686.95|89.86|6.17|130.11|NaN
Graphite India|81.10|135.66|1,821.64|7.26|7.35|0.14|1,584.69|638.09|900.73|0.86|19.24|7.45
Greenlam Industr|654.90|92.77|1,846.19|9.00|19.51|1.18|1,580.69|0.00|156.72|5.91|39.19|5.02
F A C T|24.20|-200.06|2,635.42|-39.00|-54.77|-1.25|1,565.91|276.06|117.18|NaN|NaN|-7.59
Lux Industries|613.25|90.74|1,793.74|23.71|21.60|2.17|1,548.64|31.75|381.40|8.45|30.16|5.06

Gati|175.60|107.30|1,999.63|8.96|8.90|0.90|1,543.51|740.61|299.84|2.77|41.91|5.37
Sh.Renuka Sugar|16.60|-1,166.38|10,378.61|-16.74|-20.16|-3.80|1,541.83|7,970.07|6.94|NaN|NaN|-11.24
Triven.Engg.Ind.|59.65|81.85|3,005.56|-4.28|3.69|2.23|1,538.64|950.34|940.25|2.37|NaN|2.72
Satin Creditcare|478.50|377.38|NaN|20.30|15.45|8.48|1,528.87|6.06|2,387.28|4.72|26.38|NaN
Praj Inds.|85.60|78.69|1,479.08|19.59|18.81|0.00|1,524.09|215.03|152.08|2.34|22.84|5.32
Mah. Seamless|226.85|68.93|1,514.68|3.83|0.20|0.00|1,519.89|1,230.56|988.23|0.66|38.81|4.55
UFO Moviez|549.40|112.11|1,614.37|14.33|18.55|0.28|1,516.39|479.07|91.07|2.93|23.89|6.94
Mah. Scooters|1,326.60|101.04|1,510.13|NaN|-85.51|0.00|1,516.30|4.38|1.17|4.86|15.01|6.69
IFB Inds.|372.60|37.38|1,478.62|7.15|6.69|0.04|1,509.78|272.99|85.81|3.62|48.14|2.53
Sanghi Inds.|68.60|39.79|2,116.87|1.77|2.25|0.67|1,509.06|1,238.04|315.24|1.65|24.41|1.88
Simplex Infra|304.65|525.72|4,709.55|10.01|9.56|2.24|1,506.49|1,163.82|3,370.60|1.00|22.73|11.16

Sudarshan Chem.|216.50|123.88|1,830.66|11.66|20.05|1.24|1,498.77|315.73|249.11|4.26|20.93|6.77
Himadri Chemical|35.55|85.71|2,563.39|3.33|5.23|1.32|1,487.44|1,139.48|601.29|1.82|NaN|3.34
Kennametal India|673.50|40.99|1,385.56|10.85|8.43|0.00|1,480.35|114.20|227.23|3.95|59.72|2.96
JSW Holdings|1,328.20|46.84|1,462.94|38.98|63.28|0.00|1,474.30|0.06|73.98|1.85|40.27|3.20
Jaypee Infratec.|10.60|571.95|10,154.36|9.62|4.03|1.38|1,472.27|9,628.57|4,394.49|0.24|4.15|5.63
Gabriel India|102.05|97.97|1,441.24|27.07|25.09|0.03|1,465.44|267.66|100.40|3.86|19.35|6.80
